no,page,supplier_agent,supplier_valid_until,product_materials,product_type,classification,brand,attachment_urls,source_url
1,0,"SHING  LAM HUAT SDN BHD LOT 60359, JALAN KPB 2, BUKIT BELIMBING, BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",21-01-2028,PILLAR HYDRANT,A [Conveyance of Water],PILLAR HYDRANT,TVT,https://water.sabah.gov.my/sites/default/files/uploads/products/25627/sijil-website-jans202615-shing-lam-huat-batch-2-pillar-hydrant.pdf,https://water.sabah.gov.my/products?page=0
2,0,"SHING  LAM HUAT SDN BHD LOT 60359, JALAN KPB 2, BUKIT BELIMBING, BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",21-01-2028,BRASS GATE VALVE,A [Flow Control],VALVE,TVT,https://water.sabah.gov.my/sites/default/files/uploads/products/25626/sijil-website-jans202614-shing-lam-huat-batch-2-brass-gate-valve.pdf,https://water.sabah.gov.my/products?page=0
3,0,"SMP SOLUTIONS & ENGINEERING SDN BHD INANAM CAPITAL BLOCK G, UNIT 58, 1ST FLOOR JALAN NOUNTUN INANAM 88450 KOTA KINABALU",21-01-2028,ELECTROMAGNETIC FLOWMETER,B [Instrumentation and Control],FLOW METER,ENDRESS+HAUSER,https://water.sabah.gov.my/sites/default/files/uploads/products/25625/sijil-website-jans202613-smp-solutions-engineering-sdn-bhd-electromagnetic-flow-meter.pdf,https://water.sabah.gov.my/products?page=0
4,0,"SMP SOLUTIONS & ENGINEERING SDN BHD INANAM CAPITAL BLOCK G, UNIT 58, 1ST FLOOR JALAN NOUNTUN INANAM 88450 KOTA KINABALU",21-01-2028,ULTRASONIC FLOWMETER,B [Instrumentation and Control],FLOW METER,ENDRESS+HAUSER,https://water.sabah.gov.my/sites/default/files/uploads/products/25624/sijil-website-jans202612-smp-solutions-engineering-sdn-bhd-level-meter-ultrasonic-flow-meter.pdf,https://water.sabah.gov.my/products?page=0
5,0,"SMP SOLUTIONS & ENGINEERING SDN BHD INANAM CAPITAL BLOCK G, UNIT 58, 1ST FLOOR JALAN NOUNTUN INANAM 88450 KOTA KINABALU",21-01-2028,LEVEL METER,B [Instrumentation and Control],LEVEL METER,ENDRESS+HAUSER,https://water.sabah.gov.my/sites/default/files/uploads/products/25623/sijil-website-jans202611-smp-solutions-engineering-sdn-bhd-level-meter.pdf,https://water.sabah.gov.my/products?page=0
6,0,"SOHO PLUMBING & HARDWARE SDN BHD LOT 502-C JALAN BAYAM KG KHATIB ALI, 15200 KOTA BHARU, KELANTAN",21-01-2028,PILLAR HYDRANT,A [Conveyance of Water],PILLAR HYDRANT,LOJI,https://water.sabah.gov.my/sites/default/files/uploads/products/25622/sijil-website-jans202610-soho-plumbing-hardware-sdn-bhd-pillar-hydrant.pdf,https://water.sabah.gov.my/products?page=0
7,0,"SOHO PLUMBING & HARDWARE SDN BHD LOT 502-C JALAN BAYAM KG KHATIB ALI, 15200 KOTA BHARU, KELANTAN",21-01-2028,VALVES,A [Conveyance of Water],VALVES,LOJI,https://water.sabah.gov.my/sites/default/files/uploads/products/25621/sijil-website-jans202609-soho-plumbing-hardware-sdn-bhd-valves.pdf,https://water.sabah.gov.my/products?page=0
8,0,"ECO VALVES & FITTINGS SDN BHD 8, PERSIARAN PERUSAHAAN KLEDANG UTARA 1/4, TAMAN PERINDUSTRIAN CHANDAN RAYA, MENGLEMBU, 31450 IPOH, PERAK DARUL RIDZUAN",21-01-2028,FITINGS,A [Conveyance of Water],FITTINGS,FOX,https://water.sabah.gov.my/sites/default/files/uploads/products/25620/sijil-website-jans202608-eco-valves-fittings-sdn-bhd-fittings-fox.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25620/sijil-website-jans202608-b-eco-valves-fittings-sdn-bhd-fittings-fox.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25620/sijil-website-jans202608-eco-valves-fittings-sdn-bhd-fittings-fox.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25620/sijil-website-jans202608-b-eco-valves-fittings-sdn-bhd-fittings-fox.pdf,https://water.sabah.gov.my/products?page=0
9,0,"ECO VALVES & FITTINGS SDN BHD 8, PERSIARAN PERUSAHAAN KLEDANG UTARA 1/4, TAMAN PERINDUSTRIAN CHANDAN RAYA, MENGLEMBU, 31450 IPOH, PERAK DARUL RIDZUAN",21-01-2028,FITTINGS,A [Conveyance of Water],FITTINGS,EVF,https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-b-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-c-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-b-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-c-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-b-eco-valves-fittings-sdn-bhd-fittings.pdf | https://water.sabah.gov.my/sites/default/files/uploads/products/25619/sijil-website-jans202607-c-eco-valves-fittings-sdn-bhd-fittings.pdf,https://water.sabah.gov.my/products?page=0
10,0,"ECO VALVES & FITTINGS SDN BHD 8, PERSIARAN PERUSAHAAN KLEDANG UTARA 1/4, TAMAN PERINDUSTRIAN CHANDAN RAYA, MENGLEMBU, 31450 IPOH, PERAK DARUL RIDZUAN",21-01-2028,VALVES,A  [Flow Control],VALVES,EVF,https://water.sabah.gov.my/sites/default/files/uploads/products/25618/sijil-website-jans202606-eco-valves-fittings-sdn-bhd-valves.pdf,https://water.sabah.gov.my/products?page=0
